"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"283","Khari Blasingame",TEN,"RB102","242","339","274.3","35.8"
"284","Tommy Hudson",TEN,"TE61","254","282","265.6","9.5"
"285","Ross Dwelley",SF,"TE62","258","272","266.0","6.2"
"286","Blake Bell",KC,"TE63","255","283","267.8","8.9"
"287","Kylen Granson",IND,"TE64","264","274","271.0","3.7"
"288","Durham Smythe",MIA,"TE65","257","291","271.2","11.1"
"289","Darrell Daniels",ARI,"TE66","263","285","272.8","7.0"
"290","Lee Smith",ATL,"TE67","265","299","278.0","11.3"
"291","Drew Sample",CIN,"TE68","267","286","278.4","7.5"
"292","Isaiah McKenzie",BUF,"WR122","214","235","224.5","10.5"
"293","Luke Farrell",JAC,"TE69","266","304","280.4","12.6"
"294","Darren Fells",DET,"TE70","269","292","281.0","7.3"
"295","Eric Saubert",DEN,"TE71","267","306","282.0","12.9"
"296","Cethan Carter",MIA,"TE72","268","307","283.0","12.9"
"297","Jack Stoll",PHI,"TE73","270","314","286.2","14.7"
"298","Collin Johnson",NYG,"WR123","225","315","281.0","39.9"
"299","James O'Shaughnessy",JAC,"TE74","255","292","273.5","18.5"
"300","Keelan Cole Sr.",NYJ,"WR124","273","275","274.0","1.0"
"301","Amari Rodgers",GB,"WR125","275","276","275.5","0.5"
"302","Qadree Ollison",ATL,"RB103","264","343","305.3","32.4"
"303","Hunter Long",MIA,"TE75","280","294","287.0","7.0"
"304","Javian Hawkins",TEN,"RB104","265","349","308.0","34.3"
"305","Jonathan Ward",FA,"RB105","270","318","294.0","24.0"
"306","Breshad Perriman",CHI,"WR126","293","293","293.0","0.0"
"307","Ihmir Smith-Marsette",MIN,"WR127","276","346","311.0","35.0"
"308","Kerryon Johnson",SF,"RB106","286","308","297.0","11.0"
"309","Scotty Miller",TB,"WR128","287","331","309.0","22.0"
"310","Tylan Wallace",BAL,"WR129","289","345","317.0","28.0"
"311","Dede Westbrook",MIN,"WR130","297","308","302.5","5.5"
"312","Andy Isabella",ARI,"WR131","296","332","314.0","18.0"
"313","Simi Fehoko",DAL,"WR132","302","328","315.0","13.0"
