,DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
374,37,28.12,CaSims,WR,9,36
375,37,28.12,AnthonSchwartz,WR,13,29
376,37,28.12,BrandoMcManusK,sK,11,141
377,37,28.12,RichiJames,WR,6,29
378,37,28.12,AlshoJeffery,WR,0,48
379,38,28.12,AndDalton,QB,10,77
380,38,28.12,RileRidley,WR,10,4
381,38,28.12,DaviMoore,WR,13,26
382,38,28.12,A.JMcCarron,QB,6,0
383,38,28.12,TrMcKitty,TE,7,8
384,38,28.12,IsaiaHodgins,WR,7,4
385,38,28.12,JacDoyle,TE,14,50
386,38,28.12,PaxtoLynch,QB,0,0
387,38,28.12,SaEhlinger,QB,14,15
388,38,28.12,GreWard,WR,14,27
389,39,28.12,WilDissly,TE,9,44
390,39,28.12,KelleMond,QB,7,13
391,39,28.12,LukWillson,TE,9,1
392,39,28.12,DukJohnson,RB,0,24
393,39,28.12,ChriEvans,RB,10,15
